question,prompt,answer
Is Kim procrastinating?,"Is Kim procrastinating?: Tim: Hi, what's up?
Kim: Bad mood tbh, I was going to do lots of stuff but ended up procrastinating
Tim: What did you plan on doing?
Kim: Oh you know, uni stuff and unfucking my room
Kim: Maybe tomorrow I'll move my ass and do everything
Kim: We were going to defrost a fridge so instead of shopping I'll eat some defrosted veggies
Tim: For doing stuff I recommend Pomodoro technique where u use breaks for doing chores
Tim: It really helps
Kim: thanks, maybe I'll do that
Tim: I also like using post-its in kaban style",Kim is procrastinating
Is Kim procrastinating?,"Is Kim procrastinating?: Tina: Hey, Facebook is constantly non stop suggesting Patrick
Demi: Hahahahaha 
Tina: I think I have to catch a bit of your approach
Demi: He's a god. What do you mean...?
Tina: I have to learn how to transfer from hating men to fucking them haha
Demi: (Y)
Tina: as soon as possible
Demi: Haha! Yeah. I did it, you're right. But i worked on it hard after a huge heartbreak
Tina: <file_gif>
Demi: (Y) currently i like men. you have to be chilled with them ;)
Tina: <file_gif>
Demi: :D maybe its a mistake... i dont know. Lets organize workshops on that :D
Tina: I only like one type :D yes plz do it haha
Demi: Done! but maybe you should chill a bit, look around for ather types ...and see what happens
Tina: I only dont what my mood depend so much on other people
Demi: I know! I know it well!
Tina: this renting case is eating me
Demi: you have to isolate one bit inside that will be always independent
Tina: we have to meet, crazy girl!
Demi: for sure. if youre homeless i will take under my roof
Tina: between the guyshaha
Demi: we ll find something
Tina: <3",I cannot be sure given this transcript
What is She going to do?,"What is She going to do?: Tim: Hi, what's up?
Kim: Bad mood tbh, I was going to do lots of stuff but ended up procrastinating
Tim: What did you plan on doing?
Kim: Oh you know, uni stuff and unfucking my room
Kim: Maybe tomorrow I'll move my ass and do everything
Kim: We were going to defrost a fridge so instead of shopping I'll eat some defrosted veggies
Tim: For doing stuff I recommend Pomodoro technique where u use breaks for doing chores
Tim: It really helps
Kim: thanks, maybe I'll do that
Tim: I also like using post-its in kaban style",She's going to do some uni stuff and unfucking her room
What is She going to do?,"What is She going to do?: Tina: Hey, Facebook is constantly non stop suggesting Patrick
Demi: Hahahahaha 
Tina: I think I have to catch a bit of your approach
Demi: He's a god. What do you mean...?
Tina: I have to learn how to transfer from hating men to fucking them haha
Demi: (Y)
Tina: as soon as possible
Demi: Haha! Yeah. I did it, you're right. But i worked on it hard after a huge heartbreak
Tina: <file_gif>
Demi: (Y) currently i like men. you have to be chilled with them ;)
Tina: <file_gif>
Demi: :D maybe its a mistake... i dont know. Lets organize workshops on that :D
Tina: I only like one type :D yes plz do it haha
Demi: Done! but maybe you should chill a bit, look around for ather types ...and see what happens
Tina: I only dont what my mood depend so much on other people
Demi: I know! I know it well!
Tina: this renting case is eating me
Demi: you have to isolate one bit inside that will be always independent
Tina: we have to meet, crazy girl!
Demi: for sure. if youre homeless i will take under my roof
Tina: between the guyshaha
Demi: we ll find something
Tina: <3",I cannot be sure given this transcript
What technique does Tim recommend to use breaks for doing chores?,"What technique does Tim recommend to use breaks for doing chores?: Tim: Hi, what's up?
Kim: Bad mood tbh, I was going to do lots of stuff but ended up procrastinating
Tim: What did you plan on doing?
Kim: Oh you know, uni stuff and unfucking my room
Kim: Maybe tomorrow I'll move my ass and do everything
Kim: We were going to defrost a fridge so instead of shopping I'll eat some defrosted veggies
Tim: For doing stuff I recommend Pomodoro technique where u use breaks for doing chores
Tim: It really helps
Kim: thanks, maybe I'll do that
Tim: I also like using post-its in kaban style",Tim recommends Pomodoro technique where you use breaks for doing chores.
What technique does Tim recommend to use breaks for doing chores?,"What technique does Tim recommend to use breaks for doing chores?: Tina: Hey, Facebook is constantly non stop suggesting Patrick
Demi: Hahahahaha 
Tina: I think I have to catch a bit of your approach
Demi: He's a god. What do you mean...?
Tina: I have to learn how to transfer from hating men to fucking them haha
Demi: (Y)
Tina: as soon as possible
Demi: Haha! Yeah. I did it, you're right. But i worked on it hard after a huge heartbreak
Tina: <file_gif>
Demi: (Y) currently i like men. you have to be chilled with them ;)
Tina: <file_gif>
Demi: :D maybe its a mistake... i dont know. Lets organize workshops on that :D
Tina: I only like one type :D yes plz do it haha
Demi: Done! but maybe you should chill a bit, look around for ather types ...and see what happens
Tina: I only dont what my mood depend so much on other people
Demi: I know! I know it well!
Tina: this renting case is eating me
Demi: you have to isolate one bit inside that will be always independent
Tina: we have to meet, crazy girl!
Demi: for sure. if youre homeless i will take under my roof
Tina: between the guyshaha
Demi: we ll find something
Tina: <3",I cannot be sure given this transcript
Is Edward in love with Bella?,"Is Edward in love with Bella?: Edward: Rachel, I think I'm in ove with Bella..
rachel: Dont say anything else..
Edward: What do you mean??
rachel: Open your fu**ing door.. I'm outside",Edward is in love with Bella
Is Edward in love with Bella?,"Is Edward in love with Bella?: Tomas: Has anybody received the grant yet?
Sierra: no, not yet
Jeremy: I haven't checked even
Tomas: I'm completely broke
Tomas: checking my bank account every hour
Tomas: but nothing's happening there
Sierra: lol
Sierra: be patient. If you need money I can lend you some, don't worry
Tomas: Thanks, I hope they'll arrive any minute",I cannot be sure given this transcript
Does Rachel tell him to open his door?,"Does Rachel tell him to open his door?: Edward: Rachel, I think I'm in ove with Bella..
rachel: Dont say anything else..
Edward: What do you mean??
rachel: Open your fu**ing door.. I'm outside",Rachel tells him to open his door
Does Rachel tell him to open his door?,"Does Rachel tell him to open his door?: Tomas: Has anybody received the grant yet?
Sierra: no, not yet
Jeremy: I haven't checked even
Tomas: I'm completely broke
Tomas: checking my bank account every hour
Tomas: but nothing's happening there
Sierra: lol
Sierra: be patient. If you need money I can lend you some, don't worry
Tomas: Thanks, I hope they'll arrive any minute",I cannot be sure given this transcript
Does Rachel want Edward to open the door?,"Does Rachel want Edward to open the door?: Edward: Rachel, I think I'm in ove with Bella..
rachel: Dont say anything else..
Edward: What do you mean??
rachel: Open your fu**ing door.. I'm outside",Rachel wants Edward to open the door
Does Rachel want Edward to open the door?,"Does Rachel want Edward to open the door?: Tomas: Has anybody received the grant yet?
Sierra: no, not yet
Jeremy: I haven't checked even
Tomas: I'm completely broke
Tomas: checking my bank account every hour
Tomas: but nothing's happening there
Sierra: lol
Sierra: be patient. If you need money I can lend you some, don't worry
Tomas: Thanks, I hope they'll arrive any minute",I cannot be sure given this transcript
What was Rick saying that made Sam overhear him?,"What was Rick saying that made Sam overhear him?: Sam: hey  overheard rick say something
Sam: i don't know what to do :-/
Naomi: what did he say??
Sam: he was talking on the phone with someone
Sam: i don't know who
Sam: and he was telling them that he wasn't very happy here
Naomi: damn!!!
Sam: he was saying he doesn't like being my roommate
Naomi: wow, how do you feel about it?
Sam: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Naomi: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Naomi: see what's going on
Sam: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Sam: and see how it goes in the future
Naomi: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air",Sam overheard Rick saying that he doesn't like being his roommate
What was Rick saying that made Sam overhear him?,"What was Rick saying that made Sam overhear him?: Blair: Remember we are seeing the wedding planner after work
Chuck: Sure, where are we meeting her?
Blair: At Nonna Rita's
Chuck: Can I order their seafood tagliatelle or are we just having coffee with her? I've been dreaming about it since we went there last month
Blair: Haha sure why not
Chuck: Well we both remmber the spaghetti pomodoro disaster from our last meeting with Diane
Blair: Omg hahaha it was all over her white blouse
Chuck: :D
Blair: :P",I cannot be sure given this transcript
Who was Rick talking to on the phone?,"Who was Rick talking to on the phone?: Sam: hey  overheard rick say something
Sam: i don't know what to do :-/
Naomi: what did he say??
Sam: he was talking on the phone with someone
Sam: i don't know who
Sam: and he was telling them that he wasn't very happy here
Naomi: damn!!!
Sam: he was saying he doesn't like being my roommate
Naomi: wow, how do you feel about it?
Sam: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Naomi: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Naomi: see what's going on
Sam: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Sam: and see how it goes in the future
Naomi: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air",He was talking on the phone with someone
Who was Rick talking to on the phone?,"Who was Rick talking to on the phone?: Blair: Remember we are seeing the wedding planner after work
Chuck: Sure, where are we meeting her?
Blair: At Nonna Rita's
Chuck: Can I order their seafood tagliatelle or are we just having coffee with her? I've been dreaming about it since we went there last month
Blair: Haha sure why not
Chuck: Well we both remmber the spaghetti pomodoro disaster from our last meeting with Diane
Blair: Omg hahaha it was all over her white blouse
Chuck: :D
Blair: :P",I cannot be sure given this transcript
Why did Naomi stop living with Sam?,"Why did Naomi stop living with Sam?: Sam: hey  overheard rick say something
Sam: i don't know what to do :-/
Naomi: what did he say??
Sam: he was talking on the phone with someone
Sam: i don't know who
Sam: and he was telling them that he wasn't very happy here
Naomi: damn!!!
Sam: he was saying he doesn't like being my roommate
Naomi: wow, how do you feel about it?
Sam: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Naomi: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Naomi: see what's going on
Sam: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Sam: and see how it goes in the future
Naomi: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air",Naomi used to love living with Sam before she moved in with her boyfriend
Why did Naomi stop living with Sam?,"Why did Naomi stop living with Sam?: Blair: Remember we are seeing the wedding planner after work
Chuck: Sure, where are we meeting her?
Blair: At Nonna Rita's
Chuck: Can I order their seafood tagliatelle or are we just having coffee with her? I've been dreaming about it since we went there last month
Blair: Haha sure why not
Chuck: Well we both remmber the spaghetti pomodoro disaster from our last meeting with Diane
Blair: Omg hahaha it was all over her white blouse
Chuck: :D
Blair: :P",I cannot be sure given this transcript
What will Sam say to Rick?,"What will Sam say to Rick?: Sam: hey  overheard rick say something
Sam: i don't know what to do :-/
Naomi: what did he say??
Sam: he was talking on the phone with someone
Sam: i don't know who
Sam: and he was telling them that he wasn't very happy here
Naomi: damn!!!
Sam: he was saying he doesn't like being my roommate
Naomi: wow, how do you feel about it?
Sam: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Naomi: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Naomi: see what's going on
Sam: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Sam: and see how it goes in the future
Naomi: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air",Sam will talk to Rick.
What will Sam say to Rick?,"What will Sam say to Rick?: Blair: Remember we are seeing the wedding planner after work
Chuck: Sure, where are we meeting her?
Blair: At Nonna Rita's
Chuck: Can I order their seafood tagliatelle or are we just having coffee with her? I've been dreaming about it since we went there last month
Blair: Haha sure why not
Chuck: Well we both remmber the spaghetti pomodoro disaster from our last meeting with Diane
Blair: Omg hahaha it was all over her white blouse
Chuck: :D
Blair: :P",I cannot be sure given this transcript
Did Neville get married on September 17th?,"Did Neville get married on September 17th?: Neville: Hi there, does anyone remember what date I got married on?
Don: Are you serious?
Neville: Dead serious. We're on vacation, and Tina's mad at me about something. I have a strange suspicion that this might have something to do with our wedding anniversary, but I have nowhere to check.
Wyatt: Hang on, I'll ask my wife.
Don: Haha, someone's in a lot of trouble :D
Wyatt: September 17. I hope you remember the year ;)",Neville got married on September 17th
Did Neville get married on September 17th?,"Did Neville get married on September 17th?: Tom: Ben. We've decided. 2pm in the Oval Room.
Ben: Ok, I'll be there
Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
Ben: hahaha, we have to win this battle.
Tom: We will, the justice is on our side.",I cannot be sure given this transcript
Will Wyatt ask his wife if she remembers the date?,"Will Wyatt ask his wife if she remembers the date?: Neville: Hi there, does anyone remember what date I got married on?
Don: Are you serious?
Neville: Dead serious. We're on vacation, and Tina's mad at me about something. I have a strange suspicion that this might have something to do with our wedding anniversary, but I have nowhere to check.
Wyatt: Hang on, I'll ask my wife.
Don: Haha, someone's in a lot of trouble :D
Wyatt: September 17. I hope you remember the year ;)",Wyatt will ask his wife if she remembers the date
Will Wyatt ask his wife if she remembers the date?,"Will Wyatt ask his wife if she remembers the date?: Tom: Ben. We've decided. 2pm in the Oval Room.
Ben: Ok, I'll be there
Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
Ben: hahaha, we have to win this battle.
Tom: We will, the justice is on our side.",I cannot be sure given this transcript
Why is Tina mad at Neville while he is on vacation?,"Why is Tina mad at Neville while he is on vacation?: Neville: Hi there, does anyone remember what date I got married on?
Don: Are you serious?
Neville: Dead serious. We're on vacation, and Tina's mad at me about something. I have a strange suspicion that this might have something to do with our wedding anniversary, but I have nowhere to check.
Wyatt: Hang on, I'll ask my wife.
Don: Haha, someone's in a lot of trouble :D
Wyatt: September 17. I hope you remember the year ;)",Neville is on vacation and Tina is mad at her.
Why is Tina mad at Neville while he is on vacation?,"Why is Tina mad at Neville while he is on vacation?: Tom: Ben. We've decided. 2pm in the Oval Room.
Ben: Ok, I'll be there
Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
Ben: hahaha, we have to win this battle.
Tom: We will, the justice is on our side.",I cannot be sure given this transcript
Will Cassandra check the homework for John in 20 minutes?,"Will Cassandra check the homework for John in 20 minutes?: John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20minutes. 
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn pupets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee",John will go to a bar this week and they will go for a beer
Will Cassandra check the homework for John in 20 minutes?,"Will Cassandra check the homework for John in 20 minutes?: Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly",I cannot be sure given this transcript
Is John's boss trying to piss him off?,"Is John's boss trying to piss him off?: John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20minutes. 
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn pupets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee",John got the homework page 15 ex
Is John's boss trying to piss him off?,"Is John's boss trying to piss him off?: Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly",I cannot be sure given this transcript
Will John go to a bar this week and have a beer?,"Will John go to a bar this week and have a beer?: John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20minutes. 
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn pupets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee","2 and 3 and asked the others to study another chapter, especially the vocabulary from the very first pages"
Will John go to a bar this week and have a beer?,"Will John go to a bar this week and have a beer?: Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly",I cannot be sure given this transcript
What homework did John get on page 15?,"What homework did John get on page 15?: John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20minutes. 
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn pupets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee",They will continue on Monday
What homework did John get on page 15?,"What homework did John get on page 15?: Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly",I cannot be sure given this transcript
What did John and 3 others study and what did they ask the others to study?,"What did John and 3 others study and what did they ask the others to study?: Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly",I cannot be sure given this transcript
Did Sarah find a song on youtube?,"Did Sarah find a song on youtube?: Sarah: I found a song on youtube and I think you'll like it
James: What song?
Sarah: <file_other>
James: Oh. I know it! 
James: I heard it before in some compilation
Sarah: I can't stop playing it over and over
James: That's exactly how I know lyrics to all of the songs on my playlist :D
Sarah: Haha. No lyrics here though. Instrumental ;D
James: Instrumental songs are different kind of music. 
James: But you have to remember that the activity you do when you listen to this song
James: Is the actvity your brain will connect to the song
James: And everytime you play this song at home
James: You'll be thinking of your work
Sarah: Yeah, I know that. That's why we sometimes say - I used to like that song, but now it just reminds me of bad memories
James: Yup. Everytime you change your partner, you have to get rid of your favorite music :D
Sarah: Hahaha. True, true.",Sarah found a song on youtube
Did Sarah find a song on youtube?,"Did Sarah find a song on youtube?: Javier: Hey do you know any tattoo parlors over here with English speaking employees?
Judie: Oh there's Warsaw ink
Javier: the name sounds neat... have you had a tattoo done there?
Judie: nope but my gf has
Javier: got a pic?
Judie: <file_photo>
Javier: wow that looks amazing
Javier: how much did she pay?
Judie: it was a 1000
Javier: fuck
Javier: let me just get a tatttoo back in colombia then, thx",I cannot be sure given this transcript
Does James know the lyrics to all of the songs on his playlist?,"Does James know the lyrics to all of the songs on his playlist?: Sarah: I found a song on youtube and I think you'll like it
James: What song?
Sarah: <file_other>
James: Oh. I know it! 
James: I heard it before in some compilation
Sarah: I can't stop playing it over and over
James: That's exactly how I know lyrics to all of the songs on my playlist :D
Sarah: Haha. No lyrics here though. Instrumental ;D
James: Instrumental songs are different kind of music. 
James: But you have to remember that the activity you do when you listen to this song
James: Is the actvity your brain will connect to the song
James: And everytime you play this song at home
James: You'll be thinking of your work
Sarah: Yeah, I know that. That's why we sometimes say - I used to like that song, but now it just reminds me of bad memories
James: Yup. Everytime you change your partner, you have to get rid of your favorite music :D
Sarah: Hahaha. True, true.",James knows the lyrics to all of the songs on his playlist
Does James know the lyrics to all of the songs on his playlist?,"Does James know the lyrics to all of the songs on his playlist?: Javier: Hey do you know any tattoo parlors over here with English speaking employees?
Judie: Oh there's Warsaw ink
Javier: the name sounds neat... have you had a tattoo done there?
Judie: nope but my gf has
Javier: got a pic?
Judie: <file_photo>
Javier: wow that looks amazing
Javier: how much did she pay?
Judie: it was a 1000
Javier: fuck
Javier: let me just get a tatttoo back in colombia then, thx",I cannot be sure given this transcript
Why does Sarah no longer like the song she found on youtube?,"Why does Sarah no longer like the song she found on youtube?: Sarah: I found a song on youtube and I think you'll like it
James: What song?
Sarah: <file_other>
James: Oh. I know it! 
James: I heard it before in some compilation
Sarah: I can't stop playing it over and over
James: That's exactly how I know lyrics to all of the songs on my playlist :D
Sarah: Haha. No lyrics here though. Instrumental ;D
James: Instrumental songs are different kind of music. 
James: But you have to remember that the activity you do when you listen to this song
James: Is the actvity your brain will connect to the song
James: And everytime you play this song at home
James: You'll be thinking of your work
Sarah: Yeah, I know that. That's why we sometimes say - I used to like that song, but now it just reminds me of bad memories
James: Yup. Everytime you change your partner, you have to get rid of your favorite music :D
Sarah: Hahaha. True, true.","Sarah used to like the song, but now it reminds her of bad memories."
Why does Sarah no longer like the song she found on youtube?,"Why does Sarah no longer like the song she found on youtube?: Javier: Hey do you know any tattoo parlors over here with English speaking employees?
Judie: Oh there's Warsaw ink
Javier: the name sounds neat... have you had a tattoo done there?
Judie: nope but my gf has
Javier: got a pic?
Judie: <file_photo>
Javier: wow that looks amazing
Javier: how much did she pay?
Judie: it was a 1000
Javier: fuck
Javier: let me just get a tatttoo back in colombia then, thx",I cannot be sure given this transcript
Why did Noah quit his job?,"Why did Noah quit his job?: Noah: When and where are we meeting? :)
Madison: I thought you were busy...?
Noah: Yeah, I WAS. I quit my job. 
Madison: No way! :o :o :o Why? I thought you liked it...?
Noah: Well, I used to, until my boss turned into a complete cock... Long story.",Noah quit his job because his boss turned into a cock
